Neutral Good,Half-elf,Bard,Acolyte
Lawful Good,Half-orc, Cleric,Sage
True Neutral,Dragonborn,Sorcerer,Criminal
Chaotic Neutral, Dwarf Sorcerer with an Urchin background.
True Neutral, Halfling Monk with a Folk Hero background.
True Neutral, Elf Monk with a Folk Hero background.
True Neutral, Gnome Sorcerer with an Entertainer background.
Chaotic Neutral, Human Wizard with an Outlander background.
Chaotic Neutral, Halfling Wizard with a Noble background.
True Neutral, Half-orc Rogue with a Charlatan background.
Lawful Good, Gnome Warlock with a soldier background.
- A Chaotic Good Elf Sorcerer with a Guild Artisan background.
- A True Neutral Gnome Warlock with a Criminal background.
- A Lawful Good Half-elf Barbarian with a Noble background.
- A Chaotic Neutral Half-orc Wizard with a Sailor background.
- A Neutral Good Human Paladin with an Urchin background.
- A Neutral Good Elf Cleric with a Sailor background.
- A True Neutral Gnome Cleric with a Criminal background.
- A Chaotic Good Halfling Warlock with a soldier background.
- A Lawful Neutral Elf Ranger with an Outlander background.
- A Lawful Good Halfling Paladin with an Acolyte background.
- A Neutral Good Half-orc Monk with an Acolyte background.
- A Chaotic Neutral Elf Bard with a Guild Artisan background.
- A True Neutral Elf Cleric with a Sage background.
- A True Neutral Dwarf Cleric with an Outlander background.
- A True Evil Dragonborn Warlock with a Folk Hero background.
- A Chaotic Neutral Halfling Warlock with a Criminal background.
- A Lawful Good Gnome Barbarian with a Sailor background.
- A Lawful Good Halfling Rogue with a Sailor background.
- A Lawful Evil Dragonborn Warlock with a Guild Artisan background.
- A True Evil Tiefling Monk with an Acolyte background.
- A Lawful Neutral Halfling Rogue with a Sailor background.
- A Chaotic Neutral Half-orc Warlock with a Noble background.
- A Chaotic Good Halfling Sorcerer with a Sailor background.
- A True Neutral Dwarf Fighter with an Acolyte background.
- A True Neutral Dwarf Sorcerer with an Entertainer background.
- A Lawful Good Half-orc Sorcerer with a Noble background.
- A Neutral Good Tiefling Barbarian with a Sailor background.
- A Lawful Neutral Dragonborn Fighter with a Sage background.
- A Chaotic Evil Elf Sorcerer with a Criminal background.
- A Lawful Good Half-elf Barbarian with a Noble background.
- A Lawful Evil Elf Cleric with an Acolyte background.
- A Chaotic Good Halfling Ranger with an Urchin background.
- A Lawful Neutral Gnome Druid with an Acolyte background.
- A Chaotic Good Halfling Druid with an Acolyte background.
- A Lawful Neutral Gnome Warlock with a Hermit background.
- A Chaotic Evil Gnome Barbarian with an Acolyte background.
- A Chaotic Neutral Gnome Warlock with a soldier background.
- A Chaotic Neutral Tiefling Fighter with a Charlatan background.
- A True Neutral Dwarf Rogue with an Entertainer background.